SKU,name,description,final_price,uvas,proveedor,añada,D.O.,tipo_crianza,meses_barrica,tipo_vino
VT-FLOR-VETUS-BLANCO,Vino Blanco Flor de Vetus Blanco Rueda,"<p><strong>Vino Blanco Flor de Vetus Blanco Rueda</strong></p>
<p>Flor de Vetus Verdejo se elabora a partir de una selección de microparcelas de viñas viejas situadas en la zona más occidental de la DO Rueda (Segovia), a una altitud de unos 900 metros sobre el nivel del mar, lo que le aporta frescura y entidad, los principales rasgos de la personalidad de este vino.</p>
<p>Un verdejo de calidad a un muy buen precio, perfecto para acompañar ensaladas, pastas y arroces o cualquier aperitivo a base de embutidos porque se trata de un vino con buena estructura.</p>
<p>Si tiene alguna duda a la hora de <strong>comprar vino blanco Flor de Vetus Verdejo</strong>, pongase en contacto con el sumiller de nuestra tienda online de vinos y le asesoraremos sin compromiso.</p>",7.5,Verdejo,D.E.R. NAVARRO S.A.,2020,D.O. Rueda,Joven,Sin paso por barrica,Vino Blanco
10.12vpoz,Vin Rouge 10.12 Joven de Viñedos de Pozanco,"<p>Vin Rouge 10.12 Joven de Viñedos de Pozanco.</p>
<p>Le Vin Rouge10.12 joven de Viñedos de Pozanco est élaboré à partir de 50% de raisins Tempranillo, 30% de raisins Merlot et 20% de raisins Cabernet Sauvignon.</p>
<p>C'est un vin qui appartient à l'IGP Vinos de la Tierra de Extremadura. </p>
<p>Nous recommandons une température de service entre 16 et 18 degrés.</p>",8.35,Cabernet Sauvignon|Merlot|Tempranillo,"Viñedos Pozanco, S.L.",2018,V.T. Extremadura,Joven,Sin paso por barrica,Vino Tinto
vtabadiaarroyadacrianza,Vino Tinto Abadía La Arroyada Crianza,"<p>VINO TINTO ABAD&Iacute;A LA ARROYADA CRIANZA</p>
<p>El vino tinto Abad&iacute;a La Arroyada crianza est&aacute; elaborado con uva 100% Tempranillo y pertenece a la D.O. Ribera del Duero.&nbsp;Los vi&ntilde;edos de tempranillo se encuentran en los municipios Burgaleses de Terradillo de Esgueva y Sotillo de la Ribera. Con una edad comprendida entre 45 y 80 a&ntilde;os. La vendimia ha sido enteramente manual.&nbsp;Este vino tiene una crianza de 15 meses en barricas de roble.&nbsp;Servir este vino a una temperatura entre 16&ordm; y 18&ordm;, antes de ser servido es recomendable decantarlo.&nbsp;MARIDAJE DEL</p>
<p>VINO TINTO ABAD&Iacute;A ARROYADA CRIANZA:&nbsp;Est&aacute; especialmente recomendado para todo tipo de carnes.&nbsp;</p>
<p>NOTA DE CATA VINO TINTO ABAD&Iacute;A ARROYADA CRIANZA :&nbsp;</p>
<p>Vista: En vista se presenta color rojo granate.&nbsp;&nbsp;</p>
<p>Nariz: En nariz se presenta con aroma a frutos maduros bien ensamblados con la madera y los tostados.&nbsp;</p>
<p>Boca: En boca se presenta sabroso y equilibrado. Paso por boca agradable y muy persistentes.&nbsp;</p>
<p>Graduaci&oacute;n Alcoh&oacute;lica de El Vino Tinto Abad&iacute;a La Arroyada crianza : 14.50 grados&nbsp; Si tiene alguna duda a la hora de comprar Vino tinto Abad&iacute;a La Arroyada crianza , p&oacute;ngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso.</p>",28.0,Tempranillo,Bodegas Abadía la Arroyada S.L.,2010,D.O. Ribera del Duero,Crianza,15 meses,Vino Tinto
VT-ADARO,Vino Tinto Adaro,"<p><strong>Vino Tinto Adaro</strong></p>
<p>En 1989 Javier Cremades quien es ingeniero agr&oacute;nomo y amante del campo&nbsp;inicia en Real Sito de Ventosilla la bodega donde se producen los vinos&nbsp;<b>Pradorey </b>en el a&ntilde;o 2007, construyen una nueva bodega en Rueda, esta es moderna&nbsp; e innovadora y se la emplea para la producci&oacute;n de vino blanco.</p>
<p>La bodega&nbsp;<b>PradoRey&nbsp;</b>cuida del medioambiente as&iacute; como tambi&eacute;n hace &eacute;nfasis en la responsabilidad social y corporativa, estas acciones se ven reflejados en sus productos y en la forma de trabajar de su gente dando como resultado vinos de calidad.</p>
<p>El&nbsp;<b>Vino Tinto Adaro</b>&nbsp;est&aacute; elaborado con 100% Tempranillo, pertenece a la<b>&nbsp;D.O Ribera del Duero&nbsp;</b>se caracteriza por que sus suelos son<b>&nbsp;</b>arcillosos con un alto&nbsp;porcentaje de caliza lo que es favorable para la vid&nbsp;ya que este presenta m&aacute;s capacidad para retener nutrientes y agua dando como resultado vinos elegantes y con estructura.</p>
<p>El&nbsp;<b>Vino Tinto Adaro</b>&nbsp;es envejecido durante12 meses en barricas de roble franc&eacute;s y esloveno para despues reposar&nbsp; por un periodo de 3 meses en conos de madera de Nevers,&nbsp;es un vino muy especial, intenso, elegante, fresco y exquisitamente complejo, la producci&oacute;n de este vino es limitada, solo se producen&nbsp;24.972 botellas.</p>
<p>Recibe el <strong>Vino tinto Adaro &nbsp;2015, </strong>93 Puntos Pe&ntilde;in en el a&ntilde;o 2018.</p>
<p>Si tiene alguna duda a la hora de&nbsp;<b>comprar el Vino Tinto Adaro de Prado Rey</b>, p&oacute;ngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso.</p>
<p>&nbsp;</p>",21.0,Tempranillo,REAL SITIO DE VENTOSILLA S.A.,2018,D.O. Ribera del Duero,Crianza,12 meses,Vino Tinto
alabaster,Vino Tinto Alabaster,"<p>Vino Tinto Alabaster.</p>
<div>El vino tinto Alabaster está elaborado con <strong>100% Tinta de Toro</strong> y pertenece obviamente a la <strong>D.O. Toro</strong>. Su enólogo es<strong> Marcos Eguren</strong>.</div>
<div> </div>
<div>Los viñedos están situados en <strong>Zamora</strong> en las fincas Valdemediano, Marinacea y La Jara. Dichos viñedos son Prefiloxericos. Todo el cultivo es <strong>respetuoso con el medio ambiente</strong>.</div>
<div> </div>
<div>Este vino ha tenido una crianza de <strong>18 meses en barrica</strong> nueva de roble Francés.</div>
<div> </div>
<div>Servir este vino a una temperatura entre 16º y 18º, antes de ser servido es recomendable <strong>decantarlo</strong>, incluso 4 horas antes de ser servido.</div>
<div> </div>
<div>Si tiene alguna duda a la hora de <strong>comprar Vino tinto Alabaster</strong>, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.</div>",208.75,Tinta de Toro,Carbonicas Alvarez S.L.,2017,D.O. Toro,Reserva,18 meses,Vino Tinto
VT-ALMIREZ,Vino Tinto Almirez,"<p><strong>Vino Tinto Almirez.</strong></p>
<p>El vino tinto Almirez está elaborado con 100% Tinta de Toro y pertenece a la D.O. Toro. Su enólogo es Marcos Eguren. Los viñedos están situados en Valdefinjas y Toro en la provincia de Zamora, tienen una edad entre 15 y 65 años. Los cultivos son respetuosos con el medio ambiente. Este vino permanece en barrica de crianza durante 12 meses. Servir este vino a una temperatura entre 16º y 18º.  </p>
<p>Graduación Alcohólica de El Vino Tinto Almirez: 14.50 grados </p>
<p>Si tiene alguna duda a la hora de <strong>comprar Vino tinto Almirez</strong>, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.</p>",17.69,Tinta de Toro,Carbonicas Alvarez S.L.,2020,D.O. Toro,Crianza,12 meses,Vino Tinto
VT-AMAYA-ARZUAGA,Vino Tinto Amaya Arzuaga,"<p><strong>Vino Tinto Amaya Arzuaga. </strong></p>
<p>El vino tinto Amaya Arzuaga está elaborado con 95% Tinto Fino y  5% Blanca del Pais y pertenece a la D.O. Ribera del Duero.</p>
<p>Esta uva proviene de viñedos muy antiguos. Situados en dos parcelas distintas, una con restos de piedras areniscas y aluvión y la otra con calizo de altitud. </p>
<p>Este vino tiene una crianza de unos 20 meses aproximadamente en barricas nuevas de diferentes origenes.  Se recomienda servir este vino a una temperatura entre 16º y 18º, antes de ser servido es recomendable decantarlo.</p>
<p>Si tiene alguna duda a la hora de comprar Vino tinto Amaya Arzuaga, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso. </p>",64.0,Albillo|Tinto Fino,BODEGAS ARZUAGA NAVARRO S.L.,2016,D.O. Ribera del Duero,Crianza,20 meses,Vino Tinto
VT-ARZUAGA-ECOLOGICO-CRIANZA,Vino Tinto Arzuaga Ecológico Crianza,"<p><strong>Vino Tinto Arzuaga Ecológico Crianza</strong></p>
<p>El vino tinto Arzuaga Ecologico Crianza está elaborado con 100% Tempranillo y pertenece a la D.O. Ribera del Duero.</p>
<p>Es el primer vino Ecológico de las Bodegas Arzuaga Navarro, en su cultivo no se ha utilizado ningún producto sintetizado por el hombre y sin herbicidas. Para la elaboración de este vino Ecológico se utilizan métodos tradicionales totalmente respetuosos con el medio ambiente, un homenaje para el hacer antiguo.</p>
<p>Tiene una crianza de 17 meses en barricas de roble Francés. Servir este vino a una temperatura entre 16º y 18º. </p>
<p>Si tiene alguna duda a la hora de comprar Vino tinto Arzuaga Ecológico Crianza, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso. </p>",22.46,Tempranillo,BODEGAS ARZUAGA NAVARRO S.L.,2017,D.O. Ribera del Duero,Crianza,17 meses,Vino Tinto
VT-ARZUAGA-GRAN-RESERVA,Vino Tinto Arzuaga Gran Reserva,"<p><strong>Vino Tinto Arzuaga Gran Reserva. </strong></p>
<p>Se trata de uno de los grandes vinos de Ribera del Duero por su caracter, potencia y estructura, un vino que sorprende y no defrauda.</p>
<p><strong></strong>El vino tinto Arzuaga Gran Reserva está elaborado con 95% Tinto Fino y 5% Merlot & Cabernet Sauvignon.</p>
<p>Pertenece a la D.O. Ribera del Duero. La crianza de este vino fue de 40 meses en Barricas nuevas de roble Francés. </p>
<p>Servir este vino a una temperatura entre 16º y 18º, antes de ser servido es recomendable decantarlo. </p>
<p>Si tiene alguna duda a la hora de comprar Vino tinto Arzuaga Gran Reserva, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso. </p>",81.95,Cabernet Sauvignon|Merlot|Tempranillo,BODEGAS ARZUAGA NAVARRO S.L.,2014,D.O. Ribera del Duero,Gran Reserva,40 meses,Vino Tinto
VT-LA-PLANTA-DE-ARZUAGA,Vino Tinto La Planta de Arzuaga,"<p><strong>Vino Tinto La Planta de Arzuaga.</strong></p>
<p>El <strong>Vino Tinto La Planta de Arzuaga</strong> está elaborado con 100% Tempranillo y pertenece a la D.O. Ribera del Duero. </p>
<p>Los viñedos está situados en Quintanilla de Onésimo provincia de Valladolid, exactamente estas viñas, de edad superior a los 20 años, están en la finca La Planta con una altitud sobre el nivel del mar superior a los 900 metros. Todo elaborado por Bodegas Arzuaga Navarro. </p>
<p>Su proceso de elaboración comienza con su vendimiado a mano en cajas de 15 Kg, en la mesa de selección se eligen los racimos y se despalillan. Estas uvas se encuban en depósitos de acero inoxidable donde pasan por una maceración en frío y una fermentación alcohólica a 25ºC. </p>
<p>Su paso final es la crianza, este vino tiene una crianza de 6 meses en barricas de roble Americano y Francés. </p>
<p>Servir este vino a una temperatura entre 14º y 16º. </p>
<p>El Vino Tinto La Planta de Arzuaga tiene 14.50 grados de alcohol.</p>
<p>Si tiene alguna duda a la hora de <strong>comprar Vino Tinto La Planta de Arzuaga</strong>, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.</p>",9.35,Tempranillo,Carbonicas Alvarez S.L.,2021,D.O. Ribera del Duero,Roble,6 meses,Vino Tinto
