SKU,name,uvas,añada,D.O.,tipo_crianza,meses_barrica,tipo_vino,proveedor,final_price,description,descripcion_combinada
VT-FLOR-VETUS-BLANCO,Vino Blanco Flor de Vetus Blanco Rueda,Verdejo,2020,D.O. Rueda,Joven,Sin paso por barrica,Vino Blanco,D.E.R. NAVARRO S.A.,7.5,"Vino Blanco Flor de Vetus Blanco Rueda
Flor de Vetus Verdejo se elabora a partir de una selección de microparcelas de viñas viejas situadas en la zona más occidental de la DO Rueda (Segovia), a una altitud de unos 900 metros sobre el nivel del mar, lo que le aporta frescura y entidad, los principales rasgos de la personalidad de este vino.
Un verdejo de calidad a un muy buen precio, perfecto para acompañar ensaladas, pastas y arroces o cualquier aperitivo a base de embutidos porque se trata de un vino con buena estructura.
Si tiene alguna duda a la hora de comprar vino blanco Flor de Vetus Verdejo, pongase en contacto con el sumiller de nuestra tienda online de vinos y le asesoraremos sin compromiso.",Verdejo 2020 D.O. Rueda Joven Sin paso por barrica Vino Blanco D.E.R. NAVARRO S.A. 7.5
10.12vpoz,Vin Rouge 10.12 Joven de Viñedos de Pozanco,Cabernet Sauvignon|Merlot|Tempranillo,2018,V.T. Extremadura,Joven,Sin paso por barrica,Vino Tinto,"Viñedos Pozanco, S.L.",8.35,"Vin Rouge 10.12 Joven de Viñedos de Pozanco.
Le Vin Rouge10.12 joven de Viñedos de Pozanco est élaboré à partir de 50% de raisins Tempranillo, 30% de raisins Merlot et 20% de raisins Cabernet Sauvignon.
C'est un vin qui appartient à l'IGP Vinos de la Tierra de Extremadura. 
Nous recommandons une température de service entre 16 et 18 degrés.","Cabernet Sauvignon|Merlot|Tempranillo 2018 V.T. Extremadura Joven Sin paso por barrica Vino Tinto Viñedos Pozanco, S.L. 8.35"
vtabadiaarroyadacrianza,Vino Tinto Abadía La Arroyada Crianza,Tempranillo,2010,D.O. Ribera del Duero,Crianza,15 meses,Vino Tinto,Bodegas Abadía la Arroyada S.L.,28.0,"VINO TINTO ABADÍA LA ARROYADA CRIANZA
El vino tinto Abadía La Arroyada crianza está elaborado con uva 100% Tempranillo y pertenece a la D.O. Ribera del Duero. Los viñedos de tempranillo se encuentran en los municipios Burgaleses de Terradillo de Esgueva y Sotillo de la Ribera. Con una edad comprendida entre 45 y 80 años. La vendimia ha sido enteramente manual. Este vino tiene una crianza de 15 meses en barricas de roble. Servir este vino a una temperatura entre 16º y 18º, antes de ser servido es recomendable decantarlo. MARIDAJE DEL
VINO TINTO ABADÍA ARROYADA CRIANZA: Está especialmente recomendado para todo tipo de carnes. 
NOTA DE CATA VINO TINTO ABADÍA ARROYADA CRIANZA : 
Vista: En vista se presenta color rojo granate.  
Nariz: En nariz se presenta con aroma a frutos maduros bien ensamblados con la madera y los tostados. 
Boca: En boca se presenta sabroso y equilibrado. Paso por boca agradable y muy persistentes. 
Graduación Alcohólica de El Vino Tinto Abadía La Arroyada crianza : 14.50 grados  Si tiene alguna duda a la hora de comprar Vino tinto Abadía La Arroyada crianza , póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Tempranillo 2010 D.O. Ribera del Duero Crianza 15 meses Vino Tinto Bodegas Abadía la Arroyada S.L. 28.0
VT-ADARO,Vino Tinto Adaro,Tempranillo,2018,D.O. Ribera del Duero,Crianza,12 meses,Vino Tinto,REAL SITIO DE VENTOSILLA S.A.,21.0,"Vino Tinto Adaro
En 1989 Javier Cremades quien es ingeniero agrónomo y amante del campo inicia en Real Sito de Ventosilla la bodega donde se producen los vinos Pradorey en el año 2007, construyen una nueva bodega en Rueda, esta es moderna  e innovadora y se la emplea para la producción de vino blanco.
La bodega PradoRey cuida del medioambiente así como también hace énfasis en la responsabilidad social y corporativa, estas acciones se ven reflejados en sus productos y en la forma de trabajar de su gente dando como resultado vinos de calidad.
El Vino Tinto Adaro está elaborado con 100% Tempranillo, pertenece a la D.O Ribera del Duero se caracteriza por que sus suelos son arcillosos con un alto porcentaje de caliza lo que es favorable para la vid ya que este presenta más capacidad para retener nutrientes y agua dando como resultado vinos elegantes y con estructura.
El Vino Tinto Adaro es envejecido durante12 meses en barricas de roble francés y esloveno para despues reposar  por un periodo de 3 meses en conos de madera de Nevers, es un vino muy especial, intenso, elegante, fresco y exquisitamente complejo, la producción de este vino es limitada, solo se producen 24.972 botellas.
Recibe el Vino tinto Adaro  2015, 93 Puntos Peñin en el año 2018.
Si tiene alguna duda a la hora de comprar el Vino Tinto Adaro de Prado Rey, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.
 ",Tempranillo 2018 D.O. Ribera del Duero Crianza 12 meses Vino Tinto REAL SITIO DE VENTOSILLA S.A. 21.0
alabaster,Vino Tinto Alabaster,Tinta de Toro,2017,D.O. Toro,Reserva,18 meses,Vino Tinto,Carbonicas Alvarez S.L.,208.75,"Vino Tinto Alabaster.
El vino tinto Alabaster está elaborado con 100% Tinta de Toro y pertenece obviamente a la D.O. Toro. Su enólogo es Marcos Eguren.
 
Los viñedos están situados en Zamora en las fincas Valdemediano, Marinacea y La Jara. Dichos viñedos son Prefiloxericos. Todo el cultivo es respetuoso con el medio ambiente.
 
Este vino ha tenido una crianza de 18 meses en barrica nueva de roble Francés.
 
Servir este vino a una temperatura entre 16º y 18º, antes de ser servido es recomendable decantarlo, incluso 4 horas antes de ser servido.
 
Si tiene alguna duda a la hora de comprar Vino tinto Alabaster, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Tinta de Toro 2017 D.O. Toro Reserva 18 meses Vino Tinto Carbonicas Alvarez S.L. 208.75
VT-ALMIREZ,Vino Tinto Almirez,Tinta de Toro,2020,D.O. Toro,Crianza,12 meses,Vino Tinto,Carbonicas Alvarez S.L.,17.69,"Vino Tinto Almirez.
El vino tinto Almirez está elaborado con 100% Tinta de Toro y pertenece a la D.O. Toro. Su enólogo es Marcos Eguren. Los viñedos están situados en Valdefinjas y Toro en la provincia de Zamora, tienen una edad entre 15 y 65 años. Los cultivos son respetuosos con el medio ambiente. Este vino permanece en barrica de crianza durante 12 meses. Servir este vino a una temperatura entre 16º y 18º.  
Graduación Alcohólica de El Vino Tinto Almirez: 14.50 grados 
Si tiene alguna duda a la hora de comprar Vino tinto Almirez, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Tinta de Toro 2020 D.O. Toro Crianza 12 meses Vino Tinto Carbonicas Alvarez S.L. 17.69
VT-AMAYA-ARZUAGA,Vino Tinto Amaya Arzuaga,Albillo|Tinto Fino,2016,D.O. Ribera del Duero,Crianza,20 meses,Vino Tinto,BODEGAS ARZUAGA NAVARRO S.L.,64.0,"Vino Tinto Amaya Arzuaga. 
El vino tinto Amaya Arzuaga está elaborado con 95% Tinto Fino y  5% Blanca del Pais y pertenece a la D.O. Ribera del Duero.
Esta uva proviene de viñedos muy antiguos. Situados en dos parcelas distintas, una con restos de piedras areniscas y aluvión y la otra con calizo de altitud. 
Este vino tiene una crianza de unos 20 meses aproximadamente en barricas nuevas de diferentes origenes.  Se recomienda servir este vino a una temperatura entre 16º y 18º, antes de ser servido es recomendable decantarlo.
Si tiene alguna duda a la hora de comprar Vino tinto Amaya Arzuaga, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso. ",Albillo|Tinto Fino 2016 D.O. Ribera del Duero Crianza 20 meses Vino Tinto BODEGAS ARZUAGA NAVARRO S.L. 64.0
VT-ARZUAGA-ECOLOGICO-CRIANZA,Vino Tinto Arzuaga Ecológico Crianza,Tempranillo,2017,D.O. Ribera del Duero,Crianza,17 meses,Vino Tinto,BODEGAS ARZUAGA NAVARRO S.L.,22.46,"Vino Tinto Arzuaga Ecológico Crianza
El vino tinto Arzuaga Ecologico Crianza está elaborado con 100% Tempranillo y pertenece a la D.O. Ribera del Duero.
Es el primer vino Ecológico de las Bodegas Arzuaga Navarro, en su cultivo no se ha utilizado ningún producto sintetizado por el hombre y sin herbicidas. Para la elaboración de este vino Ecológico se utilizan métodos tradicionales totalmente respetuosos con el medio ambiente, un homenaje para el hacer antiguo.
Tiene una crianza de 17 meses en barricas de roble Francés. Servir este vino a una temperatura entre 16º y 18º. 
Si tiene alguna duda a la hora de comprar Vino tinto Arzuaga Ecológico Crianza, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso. ",Tempranillo 2017 D.O. Ribera del Duero Crianza 17 meses Vino Tinto BODEGAS ARZUAGA NAVARRO S.L. 22.46
VT-ARZUAGA-GRAN-RESERVA,Vino Tinto Arzuaga Gran Reserva,Cabernet Sauvignon|Merlot|Tempranillo,2014,D.O. Ribera del Duero,Gran Reserva,40 meses,Vino Tinto,BODEGAS ARZUAGA NAVARRO S.L.,81.95,"Vino Tinto Arzuaga Gran Reserva. 
Se trata de uno de los grandes vinos de Ribera del Duero por su caracter, potencia y estructura, un vino que sorprende y no defrauda.
El vino tinto Arzuaga Gran Reserva está elaborado con 95% Tinto Fino y 5% Merlot & Cabernet Sauvignon.
Pertenece a la D.O. Ribera del Duero. La crianza de este vino fue de 40 meses en Barricas nuevas de roble Francés. 
Servir este vino a una temperatura entre 16º y 18º, antes de ser servido es recomendable decantarlo. 
Si tiene alguna duda a la hora de comprar Vino tinto Arzuaga Gran Reserva, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso. ",Cabernet Sauvignon|Merlot|Tempranillo 2014 D.O. Ribera del Duero Gran Reserva 40 meses Vino Tinto BODEGAS ARZUAGA NAVARRO S.L. 81.95
VT-LA-PLANTA-DE-ARZUAGA,Vino Tinto La Planta de Arzuaga,Tempranillo,2021,D.O. Ribera del Duero,Roble,6 meses,Vino Tinto,Carbonicas Alvarez S.L.,9.35,"Vino Tinto La Planta de Arzuaga.
El Vino Tinto La Planta de Arzuaga está elaborado con 100% Tempranillo y pertenece a la D.O. Ribera del Duero. 
Los viñedos está situados en Quintanilla de Onésimo provincia de Valladolid, exactamente estas viñas, de edad superior a los 20 años, están en la finca La Planta con una altitud sobre el nivel del mar superior a los 900 metros. Todo elaborado por Bodegas Arzuaga Navarro. 
Su proceso de elaboración comienza con su vendimiado a mano en cajas de 15 Kg, en la mesa de selección se eligen los racimos y se despalillan. Estas uvas se encuban en depósitos de acero inoxidable donde pasan por una maceración en frío y una fermentación alcohólica a 25ºC. 
Su paso final es la crianza, este vino tiene una crianza de 6 meses en barricas de roble Americano y Francés. 
Servir este vino a una temperatura entre 14º y 16º. 
El Vino Tinto La Planta de Arzuaga tiene 14.50 grados de alcohol.
Si tiene alguna duda a la hora de comprar Vino Tinto La Planta de Arzuaga, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Tempranillo 2021 D.O. Ribera del Duero Roble 6 meses Vino Tinto Carbonicas Alvarez S.L. 9.35
arzuagareserva,Vino Tinto Arzuaga Reserva,Cabernet Sauvignon|Merlot|Tempranillo,2019,D.O. Ribera del Duero,Reserva,26 meses,Vino Tinto,COALLA,33.75,"Vino Tinto Arzuaga Reserva.
El vino tinto Arzuaga Reservaestá elaborado con 95% Tinto Fino y 5% Merlot. Las viñas provienen de la finca de ""La Planta"" propiedad de Bodegas Arzuaga Navarro. A 900 metros de Altitud. 
Este vino tiene una crianza de 26 meses en barricas de roble Francés. Servir este vino a una temperatura de 17º. 
Maridaje del vino tinto Arzuaga Reserva: Está especialmente recomendado para carnes contundentes, guisos, caza... 
Si tiene alguna duda a la hora de comprar Vino tinto Arzuaga Reserva, póngase en contacto con elsumiller de nuestra tienda online de vinos y le asesorará sin compromiso.  ",Cabernet Sauvignon|Merlot|Tempranillo 2019 D.O. Ribera del Duero Reserva 26 meses Vino Tinto COALLA 33.75
