manufacturer,product name,precio iva incluido,stock,product url,category,product ID,aÃ±ada,formato,Tipo de Crianza,ean,meses en barrica,Proveedor,uvas,sku,Denominacion de Origen,tipo de vino,tipo de destilado,tipo de tequila,Estilo de cerveza,Tipo de cereal de la cerveza,Estilo de Ginebra,Familia de cerveza,Tipo de Whisky,Tipo de Champagne,Tipo de Gourmet,Medida,Volumen de medida,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
DIWISA Distillerie,Vodka Xellent,50.94,1,https://vinopremier.com/vodka-xellent.html,Vodkas,838,,70.0,,7617700450306,,Carbonicas Alvarez S.L.,,VODKA-XELLENT,,Vodka,Vodka,,,,,,,,,,,,,,,
The Woodford Reserve Distillery,Whisky Woodford Reserve Bourbon,41.62,1,https://vinopremier.com/bourbon-woodford-reserve.html,Whiskys / Bourbons,844,,70.0,,5099873025871,,Carbonicas Alvarez S.L.,,WHISKY-WOODFORD-RESERVE-BOURBON,,Whisky,Whisky,,,,,,Bourbon,,,cl.,70,,,,,
Justerini and Brooks,Whisky J&B,16.64,1,https://vinopremier.com/whisky-jb.html,Whiskys / Bourbons,847,,70.0,,5010103800945,,Carbonicas Alvarez S.L.,,WHISKYJB,,Whisky,Whisky,,,,,,Blend,,,,,,,,,
The Antiquary,Whisky Antiquary 21 AÅ„os Blended Scotch Whisky,102.61,1,https://vinopremier.com/whisky-antiquary-21-aos-blended-scotch-whisky.html,Whiskys / Bourbons,853,,70.0,,5018481217003,,"COMERCIAL LUDASI, S.L.",,W-ANTIQUARY-21A-ESTUCHE-LUJO,,Whisky,Whisky,,,,,,Malta / Single Malt,,,,,,,,,
Chivas Brothers Limited,Whisky Chivas Regal 12 AÃ±os,35.7,1,https://vinopremier.com/whisky-chivas-regal-12-anos.html,Whiskys / Bourbons,856,,70.0,,80432402931,,Carbonicas Alvarez S.L.,,WHISKY-CHIVAS-REGAL-12-ANOS,,Whisky,Whisky,,,,,,,,,,,,,,,
Joseph E. Seagram ,Ginebra Seagrams Gin,22.26,1,https://vinopremier.com/ginebra-seagram-s-gin.html,Ginebras,955,,70.0,,5900685007910,,Carbonicas Alvarez S.L.,,GIN-SEAGRAMS-EXTRA-DRY,,Ginebra,Ginebra,,,,London Dry Gin,,,,,,,,,,,
Sailor Jerry,Ron CaribeÅ„o Sailor Jerry Miniatura 5cl,2.54,1,https://vinopremier.com/ron-caribeo-sailor-jerry-miniatura-5cl.html,Vinos Para Halloween - 15%,967,,5.0,,No Disponible,,IMPORTACIONES Y EXPORTACIONES VARMA SA,,SAILORJERRY5CL,,Ron,Ron,,,,,,,,,,,,,,,
Centenario Internacional,Ron Centenario AÃ±ejo Especial 7 AÃ±os,27.16,1,https://vinopremier.com/ron-centenario-anejo-especial-7-anos.html,Rones,973,,70.0,,7441001110948,,CENTRAL HISUMER S.L.,,RONCENTENARIO,,Ron,Ron,,,,,,,,,cl.,70,,,,,
EWG Spirits ,Ginebra GVine Nouaison,47.92,1,https://vinopremier.com/ginebra-g-vine-nouaison-gin.html,Ginebras,1054,,70.0,,3700209600359,,Carbonicas Alvarez S.L.,,GIN-NOUAISON,,Ginebra,Ginebra,,,,,,,,,,,,,,,
MG DestilerÃ­as,Ginebra Mg Gin Miniatura 5cl,2.3,1,https://vinopremier.com/ginebra-mg-gin-miniatura-5cl.html,Vinos Para Halloween - 15%,1074,,5.0,,No Disponible,, Amer Global Brands S.L,,MGMIN,,Ginebra,Ginebra,,,,London Dry Gin,,,,,,,,,,,
